SMILES,C,H,O
[CH3][CH]([OH])[OH],2,6,2
[CH3][CH]([O])[OH],2,5,2
[CH3][CH]([O])[O],2,4,2
[CH3][CH]1[CH2][CH2]1,4,8,0
[CH3][CH]1[CH2][O]1,3,6,1
[CH3][CH]1[CH]=[CH]1,4,6,0
[CH3][CH]1[CH][CH2]1,4,7,0
[CH3][CH]1[CH][CH]1,4,6,0
[CH3][CH]1[CH][O]1,3,5,1
[CH3][CH]1[C]#[C]1,4,4,0
[CH3][CH]1[C]=[CH]1,4,5,0
[CH3][CH]1[C]=[C]1,4,4,0
[CH3][CH]1[C][CH2]1,4,6,0
[CH3][CH]1[C][CH]1,4,5,0
[CH3][CH]1[C][C]1,4,4,0
[CH3][CH]1[C][O]1,3,4,1
[CH3][CH]1[O][O]1,2,4,2
[CH3][CH]=[CH][CH3],4,8,0
[CH3][CH]=[CH][OH],3,6,1
[CH3][CH]=[CH][O],3,5,1
[CH3][CH]=[C]=[O],3,4,1
[CH3][CH]=[C][OH],3,5,1
[CH3][CH]=[C][O],3,4,1
[CH3][CH][CH2][CH3],4,9,0
[CH3][CH][CH2][OH],3,7,1
[CH3][CH][CH2][O],3,6,1
[CH3][CH][CH]=[O],3,5,1
[CH3][CH][CH][CH3],4,8,0
[CH3][CH][CH][OH],3,6,1
[CH3][CH][CH][O],3,5,1
[CH3][CH][C]=[O],3,4,1
[CH3][CH][C][OH],3,5,1
[CH3][CH][C][O],3,4,1
[CH3][CH][O][CH3],3,7,1
[CH3][CH][O][OH],2,5,2
[CH3][CH][O][O],2,4,2
[CH3][C]#[C][CH3],4,6,0
[CH3][C]#[C][OH],3,4,1
[CH3][C]#[C][O],3,3,1
[CH3][C](=[O])[OH],2,4,2
[CH3][C]([CH3])=[O],3,6,1
[CH3][C]([CH3])[CH3],4,9,0
[CH3][C]([CH3])[OH],3,7,1
[CH3][C]([CH3])[O],3,6,1
[CH3][C]([OH])[OH],2,5,2
[CH3][C]([O])=[O],2,3,2
[CH3][C]([O])[OH],2,4,2
[CH3][C]([O])[O],2,3,2
[CH3][C]1=[CH][CH2]1,4,6,0
[CH3][C]1=[CH][CH]1,4,5,0
[CH3][C]1=[CH][C]1,4,4,0
[CH3][C]1=[CH][O]1,3,4,1
[CH3][C]1=[C]=[CH]1,4,4,0
[CH3][C]1=[C]=[C]1,4,3,0
[CH3][C]1=[C][CH2]1,4,5,0
[CH3][C]1=[C][CH]1,4,4,0
[CH3][C]1=[C][C]1,4,3,0
[CH3][C]1=[C][O]1,3,3,1
[CH3][C]1[CH2][CH2]1,4,7,0
[CH3][C]1[CH2][O]1,3,5,1
[CH3][C]1[CH]=[CH]1,4,5,0
[CH3][C]1[CH][CH2]1,4,6,0
[CH3][C]1[CH][CH]1,4,5,0
[CH3][C]1[CH][O]1,3,4,1
[CH3][C]1[C]#[C]1,4,3,0
[CH3][C]1[C]=[CH]1,4,4,0
[CH3][C]1[C]=[C]1,4,3,0
[CH3][C]1[C][CH2]1,4,5,0
[CH3][C]1[C][CH]1,4,4,0
[CH3][C]1[C][C]1,4,3,0
[CH3][C]1[C][O]1,3,3,1
[CH3][C]1[O][O]1,2,3,2
[CH3][C]=[CH][CH3],4,7,0
[CH3][C]=[CH][OH],3,5,1
[CH3][C]=[CH][O],3,4,1
[CH3][C]=[C]=[O],3,3,1
[CH3][C]=[C][CH3],4,6,0
[CH3][C]=[C][OH],3,4,1
[CH3][C]=[C][O],3,3,1
[CH3][C][CH2][CH3],4,8,0
[CH3][C][CH2][OH],3,6,1
[CH3][C][CH2][O],3,5,1
[CH3][C][CH]=[O],3,4,1
[CH3][C][CH][CH3],4,7,0
[CH3][C][CH][OH],3,5,1
[CH3][C][CH][O],3,4,1
[CH3][C][C]=[O],3,3,1
[CH3][C][C][CH3],4,6,0
[CH3][C][C][OH],3,4,1
[CH3][C][C][O],3,3,1
[CH3][C][O][CH3],3,6,1
[CH3][C][O][OH],2,4,2
[CH3][C][O][O],2,3,2
[CH3][O][CH2][OH],2,6,2
[CH3][O][CH2][O],2,5,2
[CH3][O][CH]=[O],2,4,2
[CH3][O][CH][OH],2,5,2
[CH3][O][CH][O],2,4,2
[CH3][O][C]=[O],2,3,2
[CH3][O][C][OH],2,4,2
[CH3][O][C][O],2,3,2
[CH3][O][O][CH3],2,6,2
[CH3][O][O][OH],1,4,3
[CH3][O][O][O],1,3,3
[CH]#[C][CH2][CH2],4,5,0
[CH]#[C][CH2][CH3],4,6,0
[CH]#[C][CH2][OH],3,4,1
[CH]#[C][CH2][O],3,3,1
[CH]#[C][CH]=[CH2],4,4,0
[CH]#[C][CH]=[O],3,2,1
[CH]#[C][CH][CH2],4,4,0
[CH]#[C][CH][CH3],4,5,0
[CH]#[C][CH][OH],3,3,1
[CH]#[C][CH][O],3,2,1
[CH]#[C][C]#[CH],4,2,0
[CH]#[C][C]=[CH2],4,3,0
[CH]#[C][C]=[O],3,1,1
[CH]#[C][C][CH2],4,3,0
[CH]#[C][C][CH3],4,4,0
[CH]#[C][C][OH],3,2,1
[CH]#[C][C][O],3,1,1
[CH]#[C][O][CH2],3,3,1
[CH]#[C][O][CH3],3,4,1
[CH]#[C][O][OH],2,2,2
[CH]#[C][O][O],2,1,2
[CH]12[CH]3[CH]1[CH]23,4,4,0
[CH]1=[CH][CH2][CH2]1,4,6,0
[CH]1=[CH][CH]=[CH]1,4,4,0
[CH]1=[CH][O][CH2]1,3,4,1
[CH]1=[C]2[CH2][CH]12,4,4,0
[CH]1=[C]2[CH2][C]12,4,3,0
[CH]1=[C]2[CH]=[C]12,4,2,0
[CH]1=[C]2[O][CH]12,3,2,1
[CH]1=[C]2[O][C]12,3,1,1
[CH]1[CH2][CH2][CH2]1,4,7,0
[CH]1[CH2][CH2][O]1,3,5,1
[CH]1[CH2][CH][CH2]1,4,6,0
[CH]1[CH2][CH][O]1,3,4,1
[CH]1[CH2][O][CH2]1,3,5,1
[CH]1[CH2][O][O]1,2,3,2
[CH]1[CH]2[CH2][CH]12,4,5,0
[CH]1[CH]2[CH][CH]12,4,4,0
[CH]1[CH]2[O][CH]12,3,3,1
[CH]1[CH]=[CH][CH2]1,4,5,0
[CH]1[CH]=[CH][O]1,3,3,1
[CH]1[CH][CH2][CH2]1,4,6,0
[CH]1[CH][CH2][CH]1,4,5,0
[CH]1[CH][CH]=[CH]1,4,4,0
[CH]1[CH][CH][CH]1,4,4,0
[CH]1[CH][O][CH2]1,3,4,1
[CH]1[CH][O][CH]1,3,3,1
